Datum;ID_Omg;Vecka;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M9-1;M9-X;M9-2;M10-1;M10-X;M10-2;M11-1;M11-X;M11-2;M12-1;M12-X;M12-2;M13-1;M13-X;M13-2;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;13 rätt;12 rätt;11 rätt;10 rätt;Vinnare 13;Vinnare 12;Vinnare 11;Vinnare 10;Omsättning;JackPott_Milj;Correct_Row;True_Rank
2021-04-07;2051;14;47.0;26.0;27.0;20.0;28.0;52.0;49.0;27.0;24.0;72;17.0;11.0;46;29.0;25.0;37.0;27.0;36.0;21.0;27.0;52.0;46;26.0;28.0;64.0;21.0;15.0;16.0;26.0;58.0;28.0;28.0;44.0;44.0;29.0;27.0;64.0;22.0;14.0;2;2;1;1;X;1;2;2;X;2;2;2;1;66363;1333;60;18;28.0;786.0;9446;64111;7330111;;2211X122X2221;20253
2021-04-11;2052;14;33.0;27.0;40.0;15.0;24.0;61.0;33.0;29.0;38.0;18;23.0;59.0;57;23.0;20.0;21.0;25.0;54.0;26.0;27.0;47.0;30;31.0;39.0;27.0;28.0;45.0;47.0;27.0;26.0;35.0;28.0;37.0;23.0;27.0;50.0;63.0;20.0;17.0;2;2;1;2;1;2;2;X;X;2;2;1;X;167177;2619;108;29;18.0;648.0;8534;66377;11870619;;2212122XX221X;71298
2021-04-13;2053;15;49.0;29.0;22.0;30.0;24.0;46.0;39.0;28.0;33.0;31;30.0;39.0;39;27.0;34.0;30.0;31.0;39.0;54.0;27.0;19.0;30;29.0;41.0;42.0;31.0;27.0;45.0;28.0;27.0;19.0;26.0;55.0;19.0;22.0;59.0;51.0;23.0;26.0;2;2;1;2;X;1;X;X;2;1;1;2;X;0;49803;1219;243;0.0;18.0;401;4176;6269034;;2212X1XX2112X;802700
2021-04-18;2054;15;72.0;18.0;10.0;50.0;26.0;24.0;39.0;27.0;34.0;27;26.0;47.0;32;27.0;41.0;49.0;28.0;23.0;25.0;28.0;47.0;38;29.0;33.0;25.0;27.0;48.0;48.0;26.0;26.0;43.0;28.0;29.0;41.0;29.0;30.0;32.0;29.0;39.0;1;1;1;1;X;X;2;1;2;1;2;1;1;79411;1267;59;18;61.0;1449.0;16701;110812;12839788;4.5;1111XX2121211;20283
2021-04-21;2055;16;12.0;19.0;69.0;57.0;23.0;20.0;46.0;25.0;29.0;76;15.0;9.0;25;29.0;46.0;22.0;26.0;52.0;38.0;30.0;32.0;35;31.0;34.0;13.0;21.0;66.0;61.0;22.0;17.0;35.0;24.0;41.0;47.0;25.0;28.0;27.0;29.0;44.0;2;1;X;1;1;2;X;X;2;1;1;2;2;13753;302;15;0;147.0;3773.0;41163;228116;7975304;;21X112XX21122;4622
2021-04-25;2056;16;24.0;24.0;52.0;53.0;25.0;22.0;66.0;19.0;15.0;16;23.0;61.0;30;24.0;46.0;22.0;22.0;56.0;22.0;28.0;50.0;67;20.0;13.0;45.0;27.0;28.0;39.0;28.0;33.0;47.0;28.0;25.0;55.0;25.0;20.0;16.0;24.0;60.0;X;X;1;X;1;2;1;1;2;1;1;1;2;160045;1965;80;22;31.0;1052.0;14032;105002;14459238;4.0;XX1X121121112;51607
2021-04-27;2057;17;40.0;30.0;30.0;68.0;19.0;13.0;48.0;28.0;24.0;25;27.0;48.0;48;27.0;25.0;42.0;28.0;30.0;51.0;27.0;22.0;63;22.0;15.0;28.0;30.0;42.0;31.0;30.0;39.0;46.0;28.0;26.0;57.0;25.0;18.0;48.0;27.0;25.0;X;1;2;X;X;1;X;X;2;2;X;1;2;0;24122;830;184;0.0;37.0;586;5502;6241482;;X12XX1XX22X12;472801
2021-05-02;2058;17;35.0;26.0;39.0;23.0;25.0;52.0;74.0;17.0;9.0;33;27.0;40.0;15;22.0;63.0;16.0;20.0;64.0;14.0;18.0;68.0;47;32.0;21.0;40.0;27.0;33.0;43.0;29.0;28.0;31.0;29.0;40.0;21.0;23.0;56.0;39.0;28.0;33.0;1;2;1;1;2;X;2;1;2;1;X;2;2;49524;679;32;0;111.0;3249.0;36942;225277;15443999;4.5;12112X2121X22;6827
2021-05-05;2059;18;43.0;28.0;29.0;61.0;23.0;16.0;37.0;30.0;33.0;26;26.0;48.0;53;26.0;21.0;26.0;25.0;49.0;37.0;28.0;35.0;35;31.0;34.0;37.0;28.0;35.0;42.0;29.0;29.0;40.0;27.0;33.0;49.0;25.0;26.0;40.0;29.0;31.0;1;X;2;2;X;1;X;1;X;X;1;1;1;2370178;16557;559;131;2.0;76.0;1227;10913;8799636;4.0;1X22X1X1XX111;525161
2021-05-09;2060;18;25.0;25.0;50.0;64.0;20.0;16.0;39.0;27.0;34.0;47;25.0;28.0;35;27.0;38.0;51.0;26.0;23.0;46.0;32.0;22.0;52;26.0;22.0;21.0;23.0;56.0;53.0;26.0;21.0;20.0;24.0;56.0;41.0;28.0;31.0;80.0;13.0;7.0;2;1;2;2;2;X;1;2;X;X;1;1;1;1062519;17124;565;117;3.0;105.0;1733;17421;12574193;;21222X12XX111;210078
