Datum;ID_Omg;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M1;M2;M3;M4;M5;M6;M7;M8;8 rätt;Vinnande Rad Nr;Antal Vinnare;Omsättning;Extra Pengar;Correct_Row;True_Rank
2021-04-07;1310;47;26;27;20;28;52;49;27;24;72;17;11;46;29;25;37;27;36;21;27;52;46;26;28;2;2;1;1;X;1;2;2;1 552,00 kr;170;976;2 164 519,00 kr;;2211X122;184
2021-04-11;1311;33;27;40;15;24;61;33;29;38;18;23;59;57;23;20;21;25;54;26;27;47;30;31;39;2;2;1;2;1;2;2;X;191,00 kr;9;9734;2 665 239,00 kr;;2212122X;9
2021-04-13;1312;49;29;22;30;24;46;39;28;33;31;30;39;39;27;34;30;31;39;54;27;19;30;29;41;2;2;1;2;X;1;X;X;10 279,00 kr;4148;148;2 173 343,00 kr;;2212X1XX;4013
2021-04-18;1313;72;18;10;50;26;24;39;27;34;27;26;47;32;27;41;49;28;23;25;28;47;38;29;33;1;1;1;1;X;X;2;1;1 205,00 kr;348;1362;2 345 470,00 kr;;1111XX21;377
2021-04-21;1314;12;19;69;57;23;20;46;25;29;76;15;9;25;29;46;22;26;52;38;30;32;35;31;34;2;1;X;1;1;2;X;X;622,00 kr;157;2250;2 000 674,00 kr;;21X112XX;166
2021-04-25;1315;24;24;52;53;25;22;66;19;15;16;23;61;30;24;46;22;22;56;22;28;50;67;20;13;X;X;1;X;1;2;1;1;3 244,00 kr;1166;588;2 725 300,00 kr;;XX1X1211;1187
2021-04-27;1316;40;30;30;68;19;13;48;28;24;25;27;48;48;27;25;42;28;30;51;27;22;63;22;15;X;1;2;X;X;1;X;X;21 558,00 kr;3152;67;2 063 468,00 kr;;X12XX1XX;3169
2021-05-02;1317;35;26;39;23;25;52;74;17;9;33;27;40;15;22;63;16;20;64;14;18;68;47;32;21;1;2;1;1;2;X;2;1;352,00 kr;72;5560;2 801 542,00 kr;;12112X21;76
2021-05-05;1318;43;28;29;61;23;16;37;30;33;26;26;48;53;26;21;26;25;49;37;28;35;35;31;34;1;X;2;2;X;1;X;1;15 020,00 kr;3530;97;2 081 407,00 kr;;1X22X1X1;3556
2021-05-09;1319;25;25;50;64;20;16;39;27;34;47;25;28;35;27;38;51;26;23;46;32;22;52;26;22;2;1;2;2;2;X;1;2;3 893,00 kr;843;482;2 681 008,00 kr;;21222X12;852
2021-05-12;1320;59;24;17;63;21;16;28;27;45;17;21;62;43;26;31;83;11;6;46;25;29;57;24;19;2;1;2;2;X;1;2;1;676,00 kr;138;2125;2 052 531,00 kr;;2122X121;153
2021-05-16;1321;61;23;16;15;19;66;61;23;16;29;27;44;67;20;13;22;27;51;43;29;28;52;24;24;1;2;2;X;X;2;1;1;2 772,00 kr;591;567;2 245 672,00 kr;;122XX211;576
2021-05-19;1322;11;17;72;16;23;61;49;27;24;64;20;16;59;24;17;24;24;52;29;27;44;24;25;51;2;2;1;2;1;2;2;2;464,00 kr;27;3156;2 095 769,00 kr;;22121222;28
2021-05-22;1323;69;18;13;12;19;69;23;23;54;38;24;38;39;26;35;27;24;49;39;30;31;61;23;16;1;2;2;2;2;1;X;X;551,00 kr;354;3000;2 362 402,00 kr;;122221XX;361
2021-05-26;1324;23;26;51;39;26;35;47;25;28;47;26;27;71;17;12;73;16;11;27;28;45;32;30;38;X;2;1;X;1;1;2;1;623,00 kr;255;1768;1 573 773,00 kr;;X21X1121;228
2021-05-30;1325;37;27;36;55;25;20;46;28;26;38;29;33;56;26;18;43;26;31;43;27;30;45;26;29;X;1;2;1;2;1;1;2;7 672,00 kr;2209;136;1 490 684,00 kr;;X1212112;2168
2021-06-02;1326;43;27;30;67;20;13;60;25;15;76;16;8;65;21;14;54;30;16;28;24;48;71;15;14;X;X;1;1;1;2;X;1;1 112,00 kr;420;1097;1 743 809,00 kr;;XX1112X1;455
2021-06-06;1327;56;25;19;74;17;9;42;32;26;57;25;18;80;13;7;76;17;7;16;26;58;34;30;36;1;1;2;X;1;1;2;1;276,00 kr;45;4211;1 662 231,00 kr;;112X1121;45
2021-06-11;1328;11;24;65;26;33;41;65;22;13;55;26;19;53;27;20;65;22;13;63;23;14;35;29;36;2;X;2;1;1;1;1;2;1 866,00 kr;99;982;2 618 943,00 kr;;2X211112;94
2021-06-16;1329;56;27;17;58;26;16;25;28;47;65;21;14;54;28;18;47;29;24;71;18;11;13;22;65;1;1;2;1;1;X;X;X;1 522,00 kr;432;1000;2 174 931,00 kr;;11211XXX;445
2021-06-20;1330;66;21;13;57;24;19;39;29;32;6;13;81;24;28;48;8;15;77;13;18;69;46;28;26;1;1;2;2;2;2;2;1;87,00 kr;2;18812;2 349 015,00 kr;;11222221;2
2021-06-23;1331;35;29;36;7;14;79;26;30;44;77;15;8;43;27;30;49;23;28;37;31;32;59;25;16;1;2;X;X;2;X;X;1;8 443,00 kr;1638;183;2 207 372,00 kr;;12XX2XX1;1621
2021-06-30;1332;45;26;29;70;17;13;62;21;17;20;22;58;47;26;27;52;24;24;41;29;30;53;22;25;X;1;X;1;X;X;1;1;14 538,00 kr;2331;64;1 329 278,00 kr;;X1X1XX11;2401
2021-07-04;1333;55;26;19;38;30;32;39;30;31;31;30;39;35;27;38;20;23;57;30;25;45;26;26;48;X;1;1;X;X;1;X;2;17 629,00 kr;4325;81;2 039 949,00 kr;;X11XX1X2;4409
2021-07-07;1334;56;26;18;77;15;8;46;25;29;55;24;21;23;26;51;52;25;23;67;20;13;25;24;51;X;1;1;1;2;1;1;2;93,00 kr;9;12853;1 710 268,00 kr;;X1112112;10
2021-07-11;1335;33;32;35;66;21;13;59;23;18;32;30;38;22;30;48;59;23;18;73;17;10;60;22;18;X;1;1;2;2;1;1;X;166,00 kr;38;9078;2 155 360,00 kr;;X112211X;38
2021-07-13;1336;14;19;67;22;27;51;13;27;60;23;30;47;27;29;44;14;21;65;27;29;44;21;27;52;X;2;1;2;2;2;1;2;3 820,00 kr;854;236;1 287 941,00 kr;;X2122212;912
2021-07-18;1337;52;29;19;51;28;21;43;28;29;19;23;58;32;29;39;48;27;25;31;28;41;50;27;23;1;1;2;2;2;X;1;1;649,00 kr;109;1660;1 539 159,00 kr;;11222X11;117
2021-07-21;1338;67;24;9;31;30;39;29;24;47;48;26;26;76;16;8;79;14;7;35;26;39;50;26;24;1;X;X;1;1;1;X;X;224,00 kr;205;4535;1 457 664,00 kr;;1XX111XX;205
